SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,GenderMale,InternetService_FiberOptic,InternetService_No,Contract_OneYear,Contract_TwoYear,PaymentMethod_CreditCardAutomatic,PaymentMethod_ElectronicCheck,PaymentMethod_MailedCheck,Churn
0,1,1,57,1,0,0,0,0,0,0,0,0,19.5,1167.6,0,0,1,0,1,0,0,0,0
0,1,1,68,1,1,1,1,1,1,1,1,1,114.7,7849.85,1,1,0,0,1,0,0,0,0
0,1,0,58,1,1,0,0,1,0,1,1,0,100.35,5681.1,1,1,0,1,0,1,0,0,0
0,0,0,62,1,1,0,1,1,1,1,1,0,84.5,5193.2,0,0,0,0,1,0,0,0,0
0,1,1,37,1,1,1,0,1,1,0,0,1,62.8,2278.75,1,0,0,0,1,1,0,0,0
0,1,0,54,1,1,1,1,1,0,1,1,0,109.55,6118.95,1,1,0,0,0,0,1,0,0
0,1,1,72,1,1,1,0,1,1,1,1,1,83.55,6093.3,1,0,0,0,1,1,0,0,0
0,0,1,63,0,0,1,1,0,1,0,0,1,40.6,2588.95,1,0,0,1,0,0,0,0,0
0,0,0,45,1,1,1,0,0,1,0,1,0,73.55,3349.1,0,0,0,0,1,0,0,1,0
0,1,0,19,1,1,0,1,0,0,0,1,1,89.1,1620.8,0,1,0,0,0,0,1,0,0
1,0,0,64,1,1,0,0,1,1,1,1,0,102.1,6688.1,1,1,0,1,0,0,1,0,0
0,0,1,13,1,1,1,1,1,1,1,1,0,88.95,1161.75,0,0,0,0,1,1,0,0,0
0,1,1,13,1,0,0,0,0,0,0,0,0,44.8,559.2,1,0,0,0,0,0,0,0,0
0,1,0,55,1,1,1,1,1,1,1,1,1,90.15,4916.95,0,0,0,1,0,0,1,0,0
0,1,0,58,1,1,0,1,1,0,0,1,1,94.3,5610.15,0,1,0,1,0,0,1,0,0
0,1,0,51,1,0,1,1,0,1,0,0,1,60.5,3145.15,0,0,0,1,0,0,0,0,0
0,0,0,39,0,0,1,1,0,1,0,0,0,41.15,1700.9,0,0,0,1,0,0,0,0,0
0,1,0,42,1,1,1,0,1,0,0,1,1,94.4,4014.6,1,1,0,0,0,0,1,0,0
0,0,0,3,0,0,0,0,0,0,1,0,1,34.8,113.95,0,0,0,0,0,1,0,0,0
0,1,1,51,1,0,1,1,0,1,0,0,0,60.5,3121.45,1,0,0,0,1,1,0,0,0
0,1,1,65,1,1,1,1,1,1,0,0,0,94.55,6078.75,1,1,0,0,1,1,0,0,0
0,1,1,62,0,0,1,1,0,1,1,0,0,48.7,3008.55,0,0,0,0,1,0,0,0,0
0,1,0,72,1,1,1,1,1,1,1,1,1,91.15,6637.9,0,0,0,0,1,0,0,0,0
0,1,0,18,1,1,0,0,0,0,0,0,1,73.15,1305.95,1,1,0,0,0,0,1,0,0
0,1,1,5,0,0,0,1,0,1,0,0,0,34.25,163.55,0,0,0,0,0,0,1,0,0
0,1,1,59,0,0,1,0,1,0,0,0,0,34.8,1980.3,1,0,0,1,0,0,0,1,0
0,1,0,30,1,0,0,0,0,0,0,0,0,20.7,587.1,1,0,1,1,0,1,0,0,0
0,1,1,22,1,1,0,0,1,1,1,1,1,78.65,1663.75,1,0,0,1,0,0,0,1,0
0,1,1,71,1,1,1,1,1,1,1,1,0,91.05,6293.75,0,0,0,0,1,0,0,1,0
0,1,0,68,1,1,1,1,1,1,1,1,0,114.9,7843.55,0,1,0,0,1,0,0,0,0
1,0,0,57,1,0,0,0,1,1,0,0,1,53.5,3035.8,1,0,0,1,0,0,1,0,0
0,1,0,72,1,1,1,1,0,0,0,1,1,94.45,6921.7,0,1,0,0,1,1,0,0,0
0,0,0,4,1,1,0,0,0,0,0,0,0,23.9,97.5,0,0,1,1,0,0,1,0,0
0,1,1,34,0,0,0,0,0,1,1,0,1,40.55,1325.85,1,0,0,0,1,0,1,0,0
0,1,1,0,0,0,1,0,1,1,1,0,1,52.55,0.0,0,0,0,0,1,0,0,0,0
0,1,1,61,1,0,0,0,0,0,0,0,0,20.4,1226.45,1,0,1,1,0,0,0,1,0
0,1,0,44,1,0,1,1,1,0,0,0,1,61.5,2722.2,0,0,0,1,0,0,0,1,0
0,1,1,17,0,0,1,0,1,0,1,0,0,44.45,792.15,1,0,0,1,0,1,0,0,0
1,0,0,23,1,1,0,0,1,0,0,0,1,79.35,1835.3,0,1,0,0,0,0,0,1,0
0,1,0,10,1,0,0,0,1,0,1,1,1,67.8,653.15,0,0,0,0,0,1,0,0,0
0,1,1,70,1,1,0,0,0,0,0,0,0,24.7,1685.9,0,0,1,0,1,0,0,0,0
0,0,0,38,1,1,1,1,0,0,1,1,1,104.85,3887.25,1,1,0,1,0,0,1,0,0
0,0,0,12,1,1,1,1,0,1,0,0,1,67.25,832.3,1,0,0,0,0,0,1,0,0
0,0,0,68,1,0,1,1,1,1,1,1,1,82.45,5646.6,0,0,0,0,1,1,0,0,0
0,1,1,49,1,1,0,1,0,1,1,1,0,79.3,3902.45,0,0,0,0,1,0,0,0,0
0,1,1,18,1,0,0,0,0,0,0,0,0,20.45,357.0,0,0,1,0,0,0,0,1,0
0,1,0,15,1,0,1,0,1,0,1,1,0,101.75,1669.4,0,1,0,0,0,0,1,0,0
0,1,0,9,1,1,1,0,0,0,0,1,1,88.05,801.3,1,1,0,0,0,0,1,0,0
0,0,1,34,1,0,1,1,1,0,1,1,1,105.35,3688.6,0,1,0,0,0,0,0,0,0
0,1,0,44,1,0,1,1,0,1,0,0,1,59.85,2603.95,1,0,0,1,0,0,0,0,0
0,1,1,13,1,0,0,0,0,0,0,0,0,20.85,272.35,0,0,1,0,1,0,0,1,0
0,1,0,70,1,0,1,1,1,1,0,0,0,64.95,4523.25,1,0,0,0,1,1,0,0,0
0,0,0,72,1,1,0,0,0,0,0,0,0,24.75,1777.6,1,0,1,0,1,0,0,0,0
1,1,0,69,1,1,0,1,1,1,1,1,1,109.95,7634.25,1,1,0,0,1,0,1,0,0
0,1,0,3,0,0,1,0,0,1,0,0,0,35.1,101.1,1,0,0,0,0,0,0,1,0
1,0,0,4,0,0,0,1,0,0,1,1,1,50.95,207.35,1,0,0,0,0,1,0,0,0
1,0,0,44,1,0,0,0,1,1,1,1,0,74.85,3268.05,0,0,0,1,0,0,0,0,0
0,0,0,63,1,0,0,0,1,1,1,0,1,90.05,5817.0,0,1,0,1,0,1,0,0,0
0,1,1,20,1,0,0,0,0,0,0,0,0,20.35,442.6,0,0,1,0,0,0,0,1,0
0,1,1,50,1,0,0,0,0,0,0,0,1,69.75,3557.7,0,1,0,0,0,0,0,0,0
0,0,0,16,1,1,0,1,0,0,0,0,1,80.55,1248.9,1,1,0,0,0,0,0,1,0
0,0,0,18,1,0,0,0,0,0,0,0,0,19.65,391.7,0,0,1,0,0,0,0,1,0
0,1,1,40,1,1,0,0,1,0,1,1,1,74.55,3015.75,1,0,0,0,0,0,1,0,0
1,0,0,71,0,0,1,1,0,0,1,1,1,56.45,3985.35,1,0,0,1,0,0,1,0,0
0,0,0,8,1,0,0,0,0,0,0,0,0,20.85,161.65,0,0,1,0,1,0,0,1,0
0,1,1,17,1,1,0,0,1,1,0,0,1,61.95,1070.7,0,0,0,1,0,0,0,1,0
0,1,1,51,1,0,1,0,0,1,1,1,1,76.4,3966.3,1,0,0,1,0,0,0,0,0
0,1,1,68,1,0,1,1,0,1,0,1,0,95.1,6683.4,1,1,0,0,1,0,0,0,0
1,1,0,33,0,0,0,1,1,1,1,0,1,50.0,1750.85,1,0,0,0,0,0,1,0,0
0,1,1,64,1,0,1,1,0,0,0,0,0,81.05,5135.35,1,1,0,0,0,0,1,0,0
1,0,0,47,1,1,0,1,0,1,0,0,0,59.6,2754.0,1,0,0,0,1,0,0,0,0
0,0,0,19,1,1,1,0,1,0,0,0,1,84.75,1651.95,1,1,0,0,0,0,1,0,0
1,1,0,71,1,1,0,0,0,0,0,0,0,24.85,1901.0,1,0,1,0,1,0,0,0,0
0,1,0,72,1,1,0,1,1,1,1,1,1,108.5,8003.8,0,1,0,1,0,0,0,0,0
0,1,1,72,1,1,1,1,0,1,0,0,1,90.35,6563.4,0,1,0,0,1,0,0,0,0
0,1,1,64,1,1,0,0,0,0,0,0,1,24.8,1514.85,1,0,1,0,1,0,0,1,0
0,0,0,5,1,0,1,0,1,0,0,0,1,55.8,274.35,1,0,0,0,0,0,0,1,0
1,1,0,5,1,0,0,0,0,0,0,0,1,69.35,341.6,0,1,0,0,0,0,1,0,0
0,1,1,53,1,0,0,1,0,1,1,0,1,92.55,4779.45,1,1,0,0,0,0,1,0,0
0,0,1,46,1,0,0,1,1,0,1,1,1,99.8,4391.25,0,1,0,0,0,0,1,0,0
0,1,0,65,1,0,0,0,0,1,1,0,1,59.8,3808.2,0,0,0,0,1,1,0,0,0
0,1,0,16,1,0,0,1,0,0,1,1,1,94.65,1461.15,0,1,0,0,0,0,0,0,0
0,0,0,35,0,0,0,0,0,0,0,0,0,24.15,812.5,0,0,0,0,0,0,1,0,0
0,0,0,20,1,0,0,0,0,0,0,0,1,19.5,413.0,0,0,1,0,0,0,0,0,0
0,1,0,34,1,0,0,0,0,0,0,0,0,20.05,679.0,1,0,1,0,1,1,0,0,0
0,1,1,36,0,0,1,0,1,1,0,0,0,40.65,1547.35,0,0,0,0,1,1,0,0,0
0,1,1,6,1,1,0,0,0,0,0,0,1,48.95,273.25,0,0,0,0,0,1,0,0,0
0,0,0,25,1,0,0,0,0,0,0,0,1,20.75,499.4,1,0,1,0,1,0,0,1,0
0,0,0,17,1,0,0,0,0,0,0,0,1,19.65,351.55,1,0,1,1,0,0,0,0,0
0,0,0,26,0,0,0,0,1,0,1,1,1,50.35,1277.5,0,0,0,0,0,1,0,0,0
0,1,0,49,0,0,1,0,0,0,1,0,0,40.65,2070.75,0,0,0,0,0,0,0,0,0
0,0,0,37,1,0,0,0,0,0,0,0,1,19.8,695.05,0,0,1,1,0,0,1,0,0
0,1,0,72,1,1,1,1,1,1,1,1,1,116.95,8594.4,1,1,0,0,1,1,0,0,0
0,1,1,61,1,1,0,0,1,0,1,1,1,99.9,6241.35,1,1,0,1,0,0,1,0,0
0,0,0,1,1,0,0,0,0,0,0,0,0,19.2,19.2,1,0,1,0,0,0,0,1,0
0,1,1,60,1,1,0,0,0,0,0,0,0,74.35,4453.3,1,1,0,0,0,0,0,0,0
1,1,0,45,1,1,0,0,0,0,0,0,0,24.7,1174.35,1,0,1,1,0,1,0,0,0
0,0,0,47,1,0,0,0,0,0,0,0,0,20.25,1029.8,0,0,1,0,1,1,0,0,0
1,0,0,62,1,1,0,1,1,1,1,1,1,110.75,7053.35,1,1,0,1,0,0,0,0,0
0,0,0,35,1,1,1,0,0,0,0,0,0,55.25,1924.1,1,0,0,0,1,0,0,1,0
0,0,0,52,1,1,1,1,1,1,1,1,1,89.25,4652.4,1,0,0,0,1,0,0,1,0
0,1,1,71,1,1,1,1,1,1,1,1,0,90.35,6325.25,1,0,0,0,1,0,1,0,0
0,0,0,56,1,1,1,1,0,0,1,1,1,106.6,5893.95,0,1,0,0,0,1,0,0,0
0,1,1,56,0,0,1,1,0,1,1,0,1,52.0,2884.9,1,0,0,1,0,0,0,1,0
0,1,1,65,1,1,0,0,0,0,0,0,1,25.3,1748.55,0,0,1,0,1,0,0,0,0
0,0,0,3,1,0,0,0,0,0,0,0,0,44.75,148.05,0,0,0,0,0,0,0,1,0
0,0,0,41,1,1,0,1,0,0,1,0,1,89.2,3645.75,1,1,0,0,0,0,1,0,0
1,1,0,23,1,1,0,1,1,0,1,1,1,104.45,2184.85,1,1,0,0,0,0,1,0,0
0,1,1,28,1,1,0,1,0,0,0,1,0,64.4,1802.15,1,0,0,0,0,0,1,0,0
0,0,0,62,1,0,0,0,0,0,0,0,1,19.2,1123.65,0,0,1,0,1,1,0,0,0
0,0,0,9,1,0,0,0,0,0,0,0,0,69.05,651.5,0,1,0,0,0,0,1,0,0
0,1,1,22,1,0,1,1,0,1,0,0,1,57.95,1271.8,1,0,0,0,0,0,0,1,0
0,1,1,23,1,0,0,0,0,0,0,0,0,19.65,436.9,1,0,1,1,0,0,0,1,0
0,1,0,26,1,0,0,0,0,1,0,1,0,85.9,2196.45,0,1,0,0,0,1,0,0,0
1,1,0,60,1,1,1,1,1,1,1,1,1,116.05,6925.9,0,1,0,0,1,0,0,0,0
0,1,0,4,1,0,0,0,0,0,0,0,0,20.5,79.05,0,0,1,1,0,0,0,0,0
1,1,0,49,1,1,1,1,1,0,0,0,1,88.2,4159.45,1,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,0,0,0,0,0,0,43.95,43.95,0,0,0,0,0,1,0,0,0
0,1,1,44,0,0,1,1,1,1,0,1,1,54.05,2375.2,1,0,0,0,1,1,0,0,0
0,0,0,67,1,1,1,1,1,1,1,1,1,88.8,5903.15,1,0,0,1,0,0,0,0,0
1,1,0,40,1,0,1,1,1,1,1,0,1,98.15,4116.8,1,1,0,1,0,1,0,0,0
0,0,0,28,1,0,0,0,1,1,0,1,0,91.0,2626.15,1,1,0,0,0,0,1,0,0
0,1,0,71,1,1,1,1,1,1,1,1,1,116.1,8310.55,1,1,0,0,1,0,0,0,0
1,1,0,67,1,1,1,0,1,0,1,1,1,107.05,7142.5,0,1,0,1,0,1,0,0,0
0,1,1,8,1,0,0,0,0,0,0,0,1,19.85,146.6,0,0,1,0,1,0,0,1,0
0,0,1,66,1,1,1,1,0,1,0,0,0,65.7,4378.9,1,0,0,0,1,0,0,0,0
1,0,0,15,1,1,0,1,0,0,1,0,0,89.0,1288.3,0,1,0,0,0,1,0,0,0
0,1,0,55,1,0,1,0,0,0,1,1,1,94.75,5276.1,0,1,0,1,0,0,1,0,0
0,1,1,57,1,1,1,0,1,1,1,1,1,84.5,4845.4,0,0,0,0,1,0,1,0,0
1,0,0,1,1,0,0,0,0,0,0,0,1,71.25,71.25,0,1,0,0,0,0,1,0,0
0,1,1,24,1,1,1,0,0,1,1,1,0,81.0,1923.85,1,0,0,0,0,0,0,0,0
0,0,1,27,1,0,0,0,0,0,0,0,0,20.05,552.9,1,0,1,1,0,1,0,0,0
0,0,0,13,1,0,0,0,0,0,0,0,1,70.15,886.7,0,1,0,0,0,0,0,1,0
0,0,0,67,0,0,1,0,1,1,1,0,1,49.35,3321.35,1,0,0,1,0,0,0,0,0
0,1,1,32,1,1,0,1,0,0,1,1,1,98.85,3089.6,0,1,0,0,0,0,1,0,0
0,1,1,24,1,1,1,1,1,0,0,0,0,64.35,1558.65,0,0,0,0,1,0,1,0,0
0,1,1,42,1,0,0,0,0,0,0,0,1,19.05,761.85,0,0,1,1,0,0,1,0,0
0,0,0,22,0,0,0,0,1,0,1,1,1,50.6,1073.3,0,0,0,0,0,0,1,0,0
0,0,0,27,1,0,0,0,0,0,0,0,1,19.4,460.25,1,0,1,0,0,1,0,0,0
1,0,0,72,1,1,0,1,1,1,1,1,1,108.1,7774.05,0,1,0,0,1,0,0,0,0
0,1,1,23,1,1,1,1,1,1,1,1,1,91.1,2198.3,0,0,0,0,1,1,0,0,0
1,1,0,70,1,1,1,1,1,1,1,1,1,113.65,7714.65,0,1,0,0,1,0,1,0,0
0,1,0,40,1,0,0,1,1,0,0,0,0,80.8,3132.75,1,1,0,1,0,0,1,0,0
1,1,0,32,1,1,0,1,1,0,0,1,1,93.5,2970.8,1,1,0,0,0,0,1,0,0
0,0,0,27,1,0,0,0,0,0,0,0,1,69.05,1793.25,1,1,0,0,0,0,0,1,0
0,1,1,72,1,0,1,1,0,1,1,1,0,105.5,7611.55,1,1,0,0,1,0,0,0,0
0,1,0,58,0,0,0,0,0,0,1,1,1,45.0,2689.35,1,0,0,1,0,1,0,0,0
0,1,1,67,1,1,1,0,1,1,1,1,1,109.4,7281.6,0,1,0,1,0,0,1,0,0
0,0,0,68,0,0,0,1,0,1,0,1,0,44.95,3085.35,0,0,0,0,0,0,1,0,0
0,0,0,2,1,0,0,0,0,0,0,0,0,20.25,36.8,1,0,1,0,0,0,0,1,0
0,0,0,62,1,1,1,1,0,0,0,1,1,92.3,5731.45,1,1,0,1,0,0,0,0,0
0,1,1,72,1,1,1,1,1,1,1,1,0,88.7,6501.35,1,0,0,0,1,1,0,0,0
0,1,0,72,1,1,1,1,1,0,1,1,1,110.65,8065.65,0,1,0,0,1,1,0,0,0
1,0,0,1,1,0,0,0,0,0,0,0,0,46.3,46.3,1,0,0,0,0,0,1,0,0
0,0,1,4,0,0,1,1,1,0,1,1,1,57.2,223.75,0,0,0,0,0,0,0,1,0
1,0,0,72,1,1,0,1,1,1,1,1,0,111.65,7943.45,0,1,0,0,1,0,1,0,0
0,0,0,24,1,0,0,0,0,0,0,1,1,79.85,2001.0,1,1,0,0,0,1,0,0,0
1,0,0,19,1,0,1,0,0,0,0,1,1,87.3,1637.3,1,1,0,0,0,0,1,0,0
0,1,1,15,1,0,1,0,0,1,1,1,0,101.9,1667.25,1,1,0,1,0,0,1,0,0
0,1,0,4,1,1,0,0,1,0,1,0,0,65.6,250.1,1,0,0,0,0,0,1,0,0
1,1,0,58,1,1,0,0,0,1,1,1,1,100.4,5749.8,0,1,0,0,0,0,0,0,0
0,0,1,44,1,0,0,0,0,0,0,0,0,19.55,819.95,1,0,1,0,1,0,0,0,0
0,1,1,50,1,0,0,0,1,1,1,1,0,103.05,5153.5,0,1,0,1,0,0,0,1,0
0,0,0,46,0,0,1,0,0,0,0,0,1,30.75,1489.3,1,0,0,1,0,0,0,0,0
1,0,0,21,1,0,0,0,0,0,0,0,0,20.5,429.55,1,0,1,1,0,0,0,0,0
1,0,0,45,1,1,0,0,0,0,1,1,1,93.9,4200.25,1,1,0,0,0,0,0,0,0
0,0,0,68,1,1,1,1,0,1,1,1,0,110.25,7279.35,0,1,0,0,1,1,0,0,0
0,1,1,24,1,0,1,1,0,1,0,1,1,70.3,1706.45,1,0,0,0,0,1,0,0,0
0,1,1,54,1,0,0,0,0,0,0,0,1,20.35,1092.35,0,0,1,0,1,0,0,0,0
0,0,0,67,1,0,0,0,0,0,0,0,1,19.8,1311.3,1,0,1,0,1,0,0,1,0
1,1,0,46,1,1,0,0,0,1,1,1,0,100.25,4753.85,0,1,0,1,0,0,1,0,0
1,1,0,72,1,1,1,1,1,1,1,1,1,89.85,6697.35,0,0,0,0,1,0,0,0,0
0,1,0,64,1,0,1,0,1,0,1,1,1,99.0,6375.8,0,1,0,0,1,0,0,0,0
0,0,0,28,0,0,0,0,1,0,0,0,1,29.75,790.7,0,0,0,0,0,0,0,1,0
0,0,0,62,1,1,0,0,0,0,1,1,1,94.0,5757.2,0,1,0,1,0,0,0,0,0
0,0,1,71,1,0,1,1,1,1,1,0,1,76.9,5522.7,1,0,0,0,1,1,0,0,0
0,1,1,71,1,0,1,0,1,0,1,1,0,77.55,5574.35,0,0,0,0,1,1,0,0,0
0,0,0,21,1,0,1,0,1,1,0,0,1,60.25,1258.35,0,0,0,1,0,0,1,0,0
0,0,0,46,1,0,0,0,0,0,0,0,1,21.1,937.1,0,0,1,0,1,0,1,0,0
1,1,1,58,1,1,1,1,0,1,0,0,1,89.85,5125.75,1,1,0,1,0,0,0,0,0
0,0,0,30,0,0,0,0,0,1,0,1,1,40.35,1187.05,0,0,0,1,0,1,0,0,0
0,1,0,42,1,1,0,0,1,1,1,1,1,108.3,4586.15,1,1,0,1,0,0,1,0,0
0,0,0,39,1,0,0,0,0,1,0,0,1,49.8,1971.15,1,0,0,0,1,0,0,0,0
0,1,1,28,1,1,0,0,0,0,1,1,0,92.2,2568.15,1,1,0,1,0,0,0,0,0
0,0,0,9,1,0,0,0,0,1,1,0,0,86.25,770.5,1,1,0,0,0,0,1,0,0
0,0,0,41,1,0,0,0,0,0,0,0,0,20.15,802.35,1,0,1,0,1,0,0,1,0
0,0,1,66,1,1,1,0,1,1,0,0,1,90.95,5930.05,0,1,0,0,1,1,0,0,0
0,0,0,2,1,0,0,0,0,0,0,0,0,19.75,39.3,1,0,1,0,0,0,0,1,0
1,0,0,7,1,0,0,1,1,0,1,0,1,64.95,493.65,0,0,0,0,0,0,1,0,0
0,1,1,62,1,1,0,1,1,1,1,1,1,110.8,6840.95,0,1,0,1,0,0,1,0,0
0,0,0,16,1,0,0,0,0,0,0,0,0,20.1,296.15,0,0,1,1,0,0,0,1,0
0,1,1,30,1,0,0,0,1,1,1,0,1,64.5,1985.15,0,0,0,1,0,0,1,0,0
0,1,1,18,1,0,0,0,0,0,0,0,1,20.25,401.95,0,0,1,0,0,0,0,1,0
0,1,1,72,1,1,1,1,1,1,1,1,1,114.3,8058.55,1,1,0,0,1,1,0,0,0
0,0,1,25,1,0,0,0,0,0,0,0,0,20.8,460.2,1,0,1,0,0,0,0,1,0
0,0,0,15,1,1,0,0,0,0,0,0,1,48.8,720.1,0,0,0,0,0,0,0,1,0
0,0,1,1,1,0,0,0,0,0,0,0,0,20.05,20.05,1,0,1,0,0,0,0,1,0
0,0,1,5,1,0,0,0,0,0,0,0,0,20.45,106.9,1,0,1,0,1,0,0,1,0
0,0,1,50,1,0,0,0,0,0,0,0,0,70.35,3533.6,0,1,0,0,1,1,0,0,0
0,0,0,3,0,0,1,0,1,1,0,0,0,41.35,107.25,1,0,0,0,0,0,0,1,0
0,0,0,18,1,0,0,0,0,0,0,0,1,69.8,1221.65,0,1,0,0,0,0,1,0,0
0,0,0,28,1,0,1,0,0,1,0,0,0,54.3,1546.3,0,0,0,1,0,0,0,1,0
1,0,0,8,1,1,0,0,0,1,1,1,1,100.15,908.55,0,1,0,0,0,1,0,0,0
0,0,0,60,0,0,1,1,1,0,0,0,0,39.6,2424.5,1,0,0,0,1,0,0,0,0
0,1,1,72,1,1,1,1,1,1,1,1,1,116.85,8477.7,0,1,0,0,1,0,0,0,0
0,0,0,16,1,1,0,0,0,0,0,0,1,74.75,1129.35,0,1,0,0,0,1,0,0,0
1,1,0,16,1,0,0,0,1,1,0,1,1,91.55,1540.05,1,1,0,0,0,0,1,0,0
0,1,1,56,1,1,1,0,1,1,1,1,1,109.6,5953.0,0,1,0,0,0,0,0,1,0
0,0,0,13,0,0,0,0,1,0,1,1,0,49.15,649.4,0,0,0,0,0,0,1,0,0
1,1,0,66,1,1,0,1,0,0,1,1,1,100.8,6690.75,0,1,0,0,0,0,1,0,0
0,0,0,63,1,1,1,1,1,1,0,1,1,80.3,4995.35,0,0,0,0,1,1,0,0,0
0,1,0,70,1,1,0,1,1,1,1,1,1,110.5,7752.05,0,1,0,0,1,0,1,0,0
0,0,0,24,1,0,1,0,0,1,0,0,0,56.35,1381.2,0,0,0,0,0,1,0,0,0
0,1,1,72,1,1,1,1,1,1,1,0,0,106.1,7657.4,0,1,0,0,1,1,0,0,0
0,1,1,51,1,0,1,1,1,1,1,1,0,85.5,4421.95,0,0,0,0,1,1,0,0,0
0,1,1,60,1,0,0,0,0,0,0,0,1,20.95,1270.55,1,0,1,0,1,0,0,0,0
0,0,0,7,1,0,0,0,0,0,0,0,0,69.15,488.65,1,1,0,0,0,0,0,0,0
0,1,1,33,1,0,0,0,0,0,0,0,0,20.1,620.55,1,0,1,1,0,1,0,0,0
0,0,0,57,1,0,0,0,0,0,0,0,0,20.65,1125.6,1,0,1,0,1,0,0,0,0
0,0,0,69,1,0,0,0,0,0,0,0,1,19.1,1268.85,1,0,1,0,1,0,0,1,0
0,1,1,0,1,1,0,0,0,0,0,0,0,25.75,0.0,1,0,1,0,1,0,0,1,0
0,1,1,29,1,0,0,0,0,0,0,0,0,20.2,558.8,0,0,1,0,1,0,0,1,0
1,1,1,52,1,1,0,1,1,0,1,1,1,80.85,4079.55,1,0,0,1,0,0,1,0,0
0,1,1,14,1,1,0,1,0,1,1,1,0,80.45,1137.05,0,0,0,0,0,1,0,0,0
1,1,1,20,1,0,1,0,1,1,0,1,0,94.3,1818.3,1,1,0,1,0,1,0,0,0
0,1,1,72,1,1,1,1,1,1,1,1,1,112.6,8126.65,1,1,0,0,1,1,0,0,0
0,0,0,38,1,0,0,0,0,0,0,0,0,20.1,730.1,1,0,1,1,0,0,0,1,0
0,1,1,72,1,1,1,1,1,1,0,0,1,70.45,5165.7,0,0,0,0,1,0,0,0,0
